Date,Palestinian Deaths,Youngest Age,Oldest Age,month index,year index,date index
Dec-23,184,N/A,N/A,120,240,2790
Nov-23,6401,N/A,N/A,110,240,2780
Oct-23,8173,N/A,N/A,100,240,2770
Sep-23,14,17,36,90,240,2760
Aug-23,17,14,41,80,240,2750
Jul-23,27,16,43,70,240,2740
Jun-23,22,3,73,60,240,2730
May-23,54,5,66,50,240,2720
Apr-23,12,15,43,40,240,2710
Mar-23,25,14,49,30,240,2700
Feb-23,30,14,72,20,240,2690
Jan-23,35,13,61,10,240,2680
Dec-22,15,15,59,120,230,2680
Nov-22,20,13,54,110,230,2670
Oct-22,30,12,43,100,230,2660
Sep-22,19,7,36,90,230,2650
Aug-22,56,4,58,80,230,2640
Jul-22,8,16,68,70,230,2630
Jun-22,13,16,41,60,230,2620
May-22,6,16,51,50,230,2610
Apr-22,22,14,48,40,230,2600
Mar-22,13,1,34,30,230,2590
Feb-22,7,14,26,20,230,2580
Jan-22,6,21,80,10,230,2570
Dec-21,8,15,63,120,220,2560
Nov-21,4,13,42,110,220,2550
Oct-21,1,15,15,100,220,2540
Sep-21,11,16,50,90,220,2530
Aug-21,10,12,39,80,220,2520
Jul-21,7,11,43,70,220,2510
Jun-21,10,9,34,60,220,2500
May-21,217,1,90,50,220,2490
Apr-21,1,42,42,40,220,2480
Mar-21,4,24,45,30,220,2470
Feb-21,2,34,34,20,220,2460
Jan-21,4,17,35,10,220,2450
Dec-20,2,14,17,120,210,2440
Nov-20,2,29,37,110,210,2430
Oct-20,2,17,28,100,210,2420
Sep-20,1,54,54,90,210,2410
Aug-20,3,17,30,80,210,2400
Jul-20,1,33,33,70,210,2390
Jun-20,1,26,26,60,210,2380
May-20,4,15,37,50,210,2370
Apr-20,1,22,22,40,210,2360
Mar-20,2,15,29,30,210,2350
Feb-20,9,17,53,20,210,2340
Jan-20,6,15,36,10,210,2330
Dec-19,1,18,18,120,200,2320
Nov-19,43,2,56,110,200,2310
Oct-19,3,21,28,100,200,2300
Sep-19,5,14,50,90,200,2290
Aug-19,11,14,27,80,200,2280
Jul-19,4,7,31,70,200,2270
Jun-19,3,21,60,60,200,2260
May-19,33,1,61,50,200,2250
Apr-19,8,15,42,40,200,2240
Mar-19,21,15,36,30,200,2230
Feb-19,8,14,51,20,200,2220
Jan-19,9,14,43,10,200,2210
Dec-18,14,4,60,120,190,2200
Nov-18,25,14,37,110,190,2190
Oct-18,32,12,78,100,190,2180
Sep-18,25,11,32,90,190,2170
Aug-18,16,2,55,80,190,2160
Jul-18,24,12,45,70,190,2150
Jun-18,18,14,36,60,190,2140
May-18,67,1,59,50,190,2130
Apr-18,34,14,46,40,190,2120
Mar-18,20,18,59,30,190,2110
Feb-18,9,15,33,20,190,2100
Jan-18,7,16,38,10,190,2090
Dec-17,18,9,60,120,180,2080
Nov-17,2,37,46,110,180,2070
Oct-17,13,22,33,100,180,2060
Sep-17,2,21,37,90,180,2050
Aug-17,2,8,17,80,180,2040
Jul-17,20,2,34,70,180,2030
Jun-17,8,16,35,60,180,2020
May-17,7,15,45,50,180,2010
Apr-17,5,8,17,40,180,2000
Mar-17,7,16,49,30,180,1990
Feb-17,6,20,81,20,180,1980
Jan-17,7,17,47,10,180,1970
Dec-16,5,15,21,120,170,1960
Nov-16,6,14,48,110,170,1950
Oct-16,8,10,39,100,170,1940
Sep-16,11,15,30,90,170,1930
Aug-16,3,19,36,80,170,1920
Jul-16,9,10,68,70,170,1910
Jun-16,7,15,46,60,170,1900
May-16,3,18,59,50,170,1890
Apr-16,3,16,54,40,170,1880
Mar-16,23,6,50,30,170,1870
Feb-16,17,13,21,20,170,1860
Jan-16,20,15,34,10,170,1850
Dec-15,40,15,55,120,160,1840
Nov-15,34,16,73,110,160,1830
Oct-15,75,1,65,100,160,1820
Sep-15,5,18,27,90,160,1810
Aug-15,8,21,77,80,160,1800
Jul-15,7,2,53,70,160,1790
Jun-15,3,22,27,60,160,1780
